FromAirport,Flight,To,DepartureTime,ArrivalTime,Cost
IXZ,AI486,VTZ,2025-05-02T10:00:00+00:00,2025-05-02T11:55:00+00:00,13789.10755
IXZ,6E6306,HYD,2025-05-02T09:35:00+00:00,2025-05-02T12:05:00+00:00,18302.1132
IXZ,6E2698,MAA,2025-05-02T13:35:00+00:00,2025-05-02T15:45:00+00:00,15537.72977
IXZ,QP1926,CCU,2025-05-02T11:25:00+00:00,2025-05-02T13:40:00+00:00,15504.96031
IXZ,IX2642,CCU,2025-05-02T12:20:00+00:00,2025-05-02T14:35:00+00:00,15504.96031
IXZ,IX1097,CCU,2025-05-02T08:25:00+00:00,2025-05-02T10:50:00+00:00,16171.62698
IXZ,AI9539,BBI,2025-05-02T13:25:00+00:00,2025-05-02T15:35:00+00:00,14692.99034
IXZ,AI9947,CCU,2025-05-02T12:20:00+00:00,2025-05-02T14:35:00+00:00,15504.96031
IXZ,AI9945,CCU,2025-05-02T08:25:00+00:00,2025-05-02T10:50:00+00:00,16171.62698
IXZ,6E581,MAA,2025-05-02T07:25:00+00:00,2025-05-02T09:35:00+00:00,15537.72977
IXZ,6E6396,CCU,2025-05-02T11:55:00+00:00,2025-05-02T14:05:00+00:00,15171.62698
IXZ,6E5043,CCU,2025-05-02T08:45:00+00:00,2025-05-02T10:55:00+00:00,15171.62698
IXZ,AI9955,MAA,2025-05-02T10:10:00+00:00,2025-05-02T12:30:00+00:00,16204.39643
IXZ,IX2696,BLR,2025-05-02T13:35:00+00:00,2025-05-02T16:25:00+00:00,19544.79863
IXZ,IX2611,MAA,2025-05-02T10:10:00+00:00,2025-05-02T12:30:00+00:00,16204.39643
IXZ,AI9943,BLR,2025-05-02T13:35:00+00:00,2025-05-02T16:25:00+00:00,19544.79863
IXZ,6E6357,BLR,2025-05-02T14:50:00+00:00,2025-05-02T17:25:00+00:00,18544.79863
IXZ,QP1305,MAA,2025-05-02T10:35:00+00:00,2025-05-02T12:55:00+00:00,16204.39643
IXZ,IX1612,BBI,2025-05-02T13:25:00+00:00,2025-05-02T15:35:00+00:00,14692.99034
IXZ,AI9955,MAA,2025-05-01T10:10:00+00:00,2025-05-01T12:30:00+00:00,16204.39643
IXZ,IX2611,MAA,2025-05-01T10:10:00+00:00,2025-05-01T12:30:00+00:00,16204.39643
IXZ,6E581,MAA,2025-05-01T07:25:00+00:00,2025-05-01T09:35:00+00:00,15537.72977
IXZ,6E2698,MAA,2025-05-01T13:35:00+00:00,2025-05-01T15:45:00+00:00,15537.72977
IXZ,QP1305,MAA,2025-05-01T10:35:00+00:00,2025-05-01T12:55:00+00:00,16204.39643
IXZ,IX1097,CCU,2025-05-01T08:25:00+00:00,2025-05-01T10:50:00+00:00,16171.62698
